Unnamed: 0	Geneid	KO	Pathway_ko	Definition
2	Cre01.g000600	K14855	9182	Protein families: genetic information processing
37	Cre01.g003376	K09522	9182	Protein families: genetic information processing
65	Cre01.g005850	K00798	9108	Metabolism of cofactors and vitamins
84	Cre01.g007651	K06176	9182	Protein families: genetic information processing
104	Cre01.g010848	K06997	9191	Unclassified: metabolism
120	Cre01.g012350	K02331	9182	Protein families: genetic information processing
121	Cre01.g012350	K02331	3400	DNA repair and recombination proteins
192	Cre01.g017250	K09571	9152	Endocrine system
193	Cre01.g017250	K09571	9182	Protein families: genetic information processing
198	Cre01.g018000	K03000	9121	Transcription
199	Cre01.g018000	K03000	9182	Protein families: genetic information processing
206	Cre01.g018950	K00809	9191	Unclassified: metabolism
209	Cre01.g019200	K14849	9181	Protein families: metabolism
210	Cre01.g019200	K14849	9182	Protein families: genetic information processing
221	Cre01.g019950	K09510	9182	Protein families: genetic information processing
254	Cre01.g020950	K14852	9182	Protein families: genetic information processing
272	Cre01.g022350	K14805	9182	Protein families: genetic information processing
405	Cre01.g031750	K11883	9122	Translation
406	Cre01.g031750	K11883	9182	Protein families: genetic information processing
407	Cre01.g031750	K11883	3051	Proteasome
426	Cre01.g033950	K18417	9182	Protein families: genetic information processing
427	Cre01.g033950	K18417	3036	Chromosome and associated proteins
445	Cre01.g034950	K06184	9182	Protein families: genetic information processing
446	Cre01.g035000	K14791	9182	Protein families: genetic information processing
472	Cre01.g036600	K14570	9122	Translation
473	Cre01.g036600	K14570	9182	Protein families: genetic information processing
534	Cre01.g040379	K14326	9122	Translation
535	Cre01.g040379	K14326	3015	mRNA surveillance pathway
536	Cre01.g040379	K14326	9182	Protein families: genetic information processing
552	Cre01.g042850	K17278	9183	Protein families: signaling and cellular processes
567	Cre01.g044150	K06970	9182	Protein families: genetic information processing
596	Cre01.g047650	K10268	9182	Protein families: genetic information processing
811	Cre01.g063267	K14797	9182	Protein families: genetic information processing
812	Cre01.g063632	K03660	9124	Replication and repair
813	Cre01.g063632	K03660	9182	Protein families: genetic information processing
858	Cre02.g075600	K10908	9182	Protein families: genetic information processing
909	Cre02.g078750	K15452	9182	Protein families: genetic information processing
910	Cre02.g078750	K15452	3029	Mitochondrial biogenesis
994	Cre02.g081550	K18532	9104	Nucleotide metabolism
995	Cre02.g081550	K18532	9122	Translation
996	Cre02.g081550	K18532	9182	Protein families: genetic information processing
1016	Cre02.g083065	K14213	9181	Protein families: metabolism
1040	Cre02.g086050	K01855	9182	Protein families: genetic information processing
1044	Cre02.g086750	K03004	9121	Transcription
1045	Cre02.g086750	K03004	9182	Protein families: genetic information processing
1052	Cre02.g087600	K14439	9144	Cellular community - eukaryotes
1053	Cre02.g087600	K14439	9182	Protein families: genetic information processing
1062	Cre02.g088050	K03539	9122	Translation
1063	Cre02.g088050	K03539	3008	Ribosome biogenesis in eukaryotes
1064	Cre02.g088050	K03539	9182	Protein families: genetic information processing
1065	Cre02.g088050	K03539	3016	Transfer RNA biogenesis
1066	Cre02.g088050	K03539	3029	Mitochondrial biogenesis
1089	Cre02.g090100	K18932	9191	Unclassified: metabolism
1092	Cre02.g090276	K01148	9123	"Folding	 sorting and degradation"
1093	Cre02.g090276	K01148	9182	Protein families: genetic information processing
1095	Cre02.g090500	K13131	9122	Translation
1096	Cre02.g090500	K13131	9182	Protein families: genetic information processing
1118	Cre02.g092750	K14590	9182	Protein families: genetic information processing
1136	Cre02.g093950	K09903	9104	Nucleotide metabolism
1172	Cre02.g095400	K14820	9182	Protein families: genetic information processing
1260	Cre02.g101950	K15332	9182	Protein families: genetic information processing
1277	Cre02.g102800	K03016	9121	Transcription
1278	Cre02.g102800	K03016	9151	Immune system
1279	Cre02.g102800	K03016	9164	Neurodegenerative diseases
1280	Cre02.g102800	K03016	9182	Protein families: genetic information processing
1281	Cre02.g102800	K03016	3400	DNA repair and recombination proteins
1290	Cre02.g104650	K14573	9122	Translation
1291	Cre02.g104650	K14573	9182	Protein families: genetic information processing
1477	Cre02.g114400	K03644	9108	Metabolism of cofactors and vitamins
1485	Cre02.g115150	K13348	9141	Transport and catabolism
1532	Cre02.g118300	K16911	9182	Protein families: genetic information processing
1533	Cre02.g118300	K16911	3036	Chromosome and associated proteins
1544	Cre02.g119350	K15445	9182	Protein families: genetic information processing
1570	Cre02.g141626	K11438	9182	Protein families: genetic information processing
1571	Cre02.g141706	K03595	9182	Protein families: genetic information processing
1572	Cre02.g141706	K03595	3029	Mitochondrial biogenesis
1633	Cre02.g145231	K14831	9182	Protein families: genetic information processing
1643	Cre02.g145750	K14207	9154	Digestive system
1644	Cre02.g145750	K14207	9156	Nervous system
1645	Cre02.g145750	K14207	4727	GABAergic synapse
1646	Cre02.g145750	K14207	9183	Protein families: signaling and cellular processes
1653	Cre02.g146000	K14798	9182	Protein families: genetic information processing
1744	Cre03.g145727	K01866	9122	Translation
1745	Cre03.g145727	K01866	9181	Protein families: metabolism
1746	Cre03.g145727	K01866	9182	Protein families: genetic information processing
1747	Cre03.g145727	K01866	3029	Mitochondrial biogenesis
1784	Cre03.g149500	K14801	9182	Protein families: genetic information processing
1835	Cre03.g150350	K14326	9122	Translation
1836	Cre03.g150350	K14326	3015	mRNA surveillance pathway
1837	Cre03.g150350	K14326	9182	Protein families: genetic information processing
1852	Cre03.g152950	K06173	9182	Protein families: genetic information processing
1859	Cre03.g154550	K00286	9105	Amino acid metabolism
1866	Cre03.g155800	K15025	9192	Unclassified: genetic information processing
1871	Cre03.g156150	K14776	9182	Protein families: genetic information processing
1906	Cre03.g159900	K07179	9122	Translation
1907	Cre03.g159900	K07179	9181	Protein families: metabolism
1908	Cre03.g159900	K07179	9182	Protein families: genetic information processing
1909	Cre03.g159950	K14788	9182	Protein families: genetic information processing
1929	Cre03.g162100	K00573	9191	Unclassified: metabolism
1935	Cre03.g162601	K00995	9103	Lipid metabolism
1956	Cre03.g164650	K05302	9182	Protein families: genetic information processing
1988	Cre03.g167051	K08681	9108	Metabolism of cofactors and vitamins
1993	Cre03.g168350	K06947	9182	Protein families: genetic information processing
2054	Cre03.g172550	K11434	9132	Signal transduction
2055	Cre03.g172550	K11434	9152	Endocrine system
2056	Cre03.g172550	K11434	9182	Protein families: genetic information processing
2063	Cre03.g172950	K11131	9122	Translation
2064	Cre03.g172950	K11131	9182	Protein families: genetic information processing
2065	Cre03.g172950	K11131	3032	DNA replication proteins
2078	Cre03.g175000	K12589	9123	"Folding	 sorting and degradation"
2079	Cre03.g175000	K12589	9182	Protein families: genetic information processing
2107	Cre03.g176550	K02516	9122	Translation
2108	Cre03.g176550	K02516	9132	Signal transduction
2109	Cre03.g176550	K02516	9143	Cell growth and death
2110	Cre03.g176550	K02516	9182	Protein families: genetic information processing
2111	Cre03.g176550	K02516	3036	Chromosome and associated proteins
2118	Cre03.g177200	K13207	9182	Protein families: genetic information processing
2241	Cre03.g179860	K15335	9182	Protein families: genetic information processing
2277	Cre03.g181400	K13950	9108	Metabolism of cofactors and vitamins
2310	Cre03.g183500	K14851	9182	Protein families: genetic information processing
2340	Cre03.g186550	K11137	9124	Replication and repair
2341	Cre03.g186550	K11137	9132	Signal transduction
2342	Cre03.g186550	K11137	9182	Protein families: genetic information processing
2343	Cre03.g186550	K11137	3400	DNA repair and recombination proteins
2358	Cre03.g188200	K12589	9123	"Folding	 sorting and degradation"
2359	Cre03.g188200	K12589	9182	Protein families: genetic information processing
2367	Cre03.g188550	K14806	9181	Protein families: metabolism
2368	Cre03.g188550	K14806	9182	Protein families: genetic information processing
2426	Cre03.g190850	K13238	9103	Lipid metabolism
2461	Cre03.g192000	K14299	9122	Translation
2462	Cre03.g192000	K14299	9132	Signal transduction
2463	Cre03.g192000	K14299	9182	Protein families: genetic information processing
2530	Cre03.g196850	K14549	9122	Translation
2531	Cre03.g196850	K14549	9182	Protein families: genetic information processing
2532	Cre03.g197000	K14847	9182	Protein families: genetic information processing
2629	Cre03.g200991	K15262	9182	Protein families: genetic information processing
2630	Cre03.g201100	K03798	9181	Protein families: metabolism
2631	Cre03.g201100	K03798	9182	Protein families: genetic information processing
2813	Cre04.g212650	K06883	9194	Poorly characterized
2843	Cre04.g215050	K15746	9109	Metabolism of terpenoids and polyketides
2847	Cre04.g215350	K14552	9122	Translation
2848	Cre04.g215350	K14552	9182	Protein families: genetic information processing
2909	Cre04.g218300	K14774	9182	Protein families: genetic information processing
2911	Cre04.g218850	K14846	9182	Protein families: genetic information processing
2958	Cre04.g224002	K10770	9182	Protein families: genetic information processing
2995	Cre04.g229948	K05544	9182	Protein families: genetic information processing
3102	Cre05.g237400	K01778	9105	Amino acid metabolism
3103	Cre05.g237700	K11130	9122	Translation
3104	Cre05.g237700	K11130	9182	Protein families: genetic information processing
