Unnamed: 0	Geneid	KO	Pathway_ko	Definition
1	Cre01.g000300	K13535	9103	Lipid metabolism
3	Cre01.g000650	K00276	9105	Amino acid metabolism
4	Cre01.g000650	K00276	350	Tyrosine metabolism
5	Cre01.g000650	K00276	360	Phenylalanine metabolism
6	Cre01.g000650	K00276	9106	Metabolism of other amino acids
7	Cre01.g000650	K00276	9110	Biosynthesis of other secondary metabolites
8	Cre01.g000650	K00276	960	"Tropane	 piperidine and pyridine alkaloid biosynthesis"
16	Cre01.g002050	K01078	9108	Metabolism of cofactors and vitamins
17	Cre01.g002050	K01078	740	Riboflavin metabolism
24	Cre01.g002350	K04532	9164	Neurodegenerative diseases
25	Cre01.g002350	K04532	9182	Protein families: genetic information processing
37	Cre01.g003376	K09522	9182	Protein families: genetic information processing
48	Cre01.g004300	K01953	9105	Amino acid metabolism
49	Cre01.g004300	K01953	9181	Protein families: metabolism
50	Cre01.g004350	K12200	9141	Transport and catabolism
51	Cre01.g004350	K12200	9182	Protein families: genetic information processing
52	Cre01.g004350	K12200	9183	Protein families: signaling and cellular processes
53	Cre01.g004500	K01703	9101	Carbohydrate metabolism
54	Cre01.g004500	K01703	9105	Amino acid metabolism
55	Cre01.g004500	K01703	9110	Biosynthesis of other secondary metabolites
82	Cre01.g007300	K13985	9156	Nervous system
87	Cre01.g007901	K03327	9183	Protein families: signaling and cellular processes
94	Cre01.g009350	K10536	9105	Amino acid metabolism
103	Cre01.g010350	K03801	9108	Metabolism of cofactors and vitamins
111	Cre01.g011300	K09645	9181	Protein families: metabolism
114	Cre01.g011500	K03030	9123	"Folding	 sorting and degradation"
115	Cre01.g011500	K03030	9172	Infectious diseases: Viral
116	Cre01.g011500	K03030	9181	Protein families: metabolism
117	Cre01.g011500	K03030	9182	Protein families: genetic information processing
118	Cre01.g011500	K03030	3051	Proteasome
122	Cre01.g012450	K10592	9123	"Folding	 sorting and degradation"
123	Cre01.g012450	K10592	9182	Protein families: genetic information processing
146	Cre01.g014150	K03327	9183	Protein families: signaling and cellular processes
151	Cre01.g014800	K07456	9124	Replication and repair
152	Cre01.g014800	K07456	9182	Protein families: genetic information processing
153	Cre01.g014850	K17822	9182	Protein families: genetic information processing
164	Cre01.g016050	K12856	9121	Transcription
165	Cre01.g016050	K12856	9182	Protein families: genetic information processing
174	Cre01.g016528	K16054	9105	Amino acid metabolism
190	Cre01.g016950	K05955	9109	Metabolism of terpenoids and polyketides
191	Cre01.g016950	K05955	9181	Protein families: metabolism
192	Cre01.g017250	K09571	9152	Endocrine system
193	Cre01.g017250	K09571	9182	Protein families: genetic information processing
194	Cre01.g017450	K02321	9124	Replication and repair
195	Cre01.g017450	K02321	9182	Protein families: genetic information processing
196	Cre01.g017500	K14574	9122	Translation
197	Cre01.g017500	K14574	9182	Protein families: genetic information processing
203	Cre01.g018850	K12603	9123	"Folding	 sorting and degradation"
204	Cre01.g018850	K12603	9182	Protein families: genetic information processing
205	Cre01.g018900	K11971	9182	Protein families: genetic information processing
209	Cre01.g019200	K14849	9181	Protein families: metabolism
210	Cre01.g019200	K14849	9182	Protein families: genetic information processing
219	Cre01.g019850	K08956	9181	Protein families: metabolism
220	Cre01.g019850	K08956	9182	Protein families: genetic information processing
221	Cre01.g019950	K09510	9182	Protein families: genetic information processing
222	Cre01.g020223	K01679	9101	Carbohydrate metabolism
223	Cre01.g020223	K01679	620	Pyruvate metabolism
224	Cre01.g020223	K01679	9102	Energy metabolism
225	Cre01.g020223	K01679	9161	Cancers: Overview
226	Cre01.g020223	K01679	9162	Cancers: Specific types
227	Cre01.g020223	K01679	9167	Endocrine and metabolic diseases
228	Cre01.g020264	K08334	9132	Signal transduction
229	Cre01.g020264	K08334	9141	Transport and catabolism
230	Cre01.g020264	K08334	4138	Autophagy - yeast
231	Cre01.g020264	K08334	4136	Autophagy - other
232	Cre01.g020264	K08334	4137	Mitophagy - animal
233	Cre01.g020264	K08334	9143	Cell growth and death
234	Cre01.g020264	K08334	9172	Infectious diseases: Viral
235	Cre01.g020264	K08334	9182	Protein families: genetic information processing
236	Cre01.g020264	K08334	3029	Mitochondrial biogenesis
253	Cre01.g020918	K06972	9181	Protein families: metabolism
263	Cre01.g021600	K12823	9121	Transcription
264	Cre01.g021600	K12823	9161	Cancers: Overview
265	Cre01.g021600	K12823	5205	Proteoglycans in cancer
266	Cre01.g021600	K12823	9182	Protein families: genetic information processing
267	Cre01.g021600	K12823	3009	Ribosome biogenesis
273	Cre01.g022500	K00029	9101	Carbohydrate metabolism
274	Cre01.g022500	K00029	9102	Energy metabolism
279	Cre01.g023150	K02209	9124	Replication and repair
280	Cre01.g023150	K02209	9143	Cell growth and death
281	Cre01.g023150	K02209	4111	Cell cycle - yeast
282	Cre01.g023150	K02209	4113	Meiosis - yeast
283	Cre01.g023150	K02209	9182	Protein families: genetic information processing
284	Cre01.g023150	K02209	3036	Chromosome and associated proteins
285	Cre01.g023400	K14617	9154	Digestive system
291	Cre01.g024850	K18065	9181	Protein families: metabolism
292	Cre01.g025000	K16056	9132	Signal transduction
293	Cre01.g025000	K16056	4024	cAMP signaling pathway
294	Cre01.g025000	K16056	9151	Immune system
295	Cre01.g025000	K16056	9152	Endocrine system
296	Cre01.g025000	K16056	4925	Aldosterone synthesis and secretion
297	Cre01.g025000	K16056	4927	Cortisol synthesis and secretion
298	Cre01.g025000	K16056	9163	Immune diseases
299	Cre01.g025000	K16056	9167	Endocrine and metabolic diseases
300	Cre01.g025000	K16056	9183	Protein families: signaling and cellular processes
328	Cre01.g027100	K09648	9123	"Folding	 sorting and degradation"
329	Cre01.g027100	K09648	9181	Protein families: metabolism
330	Cre01.g027100	K09648	9182	Protein families: genetic information processing
337	Cre01.g027800	K02144	9102	Energy metabolism
338	Cre01.g027800	K02144	9132	Signal transduction
339	Cre01.g027800	K02144	9141	Transport and catabolism
340	Cre01.g027800	K02144	4142	Lysosome
341	Cre01.g027800	K02144	9156	Nervous system
342	Cre01.g027800	K02144	9163	Immune diseases
343	Cre01.g027800	K02144	9171	Infectious diseases: Bacterial
344	Cre01.g027800	K02144	5120	Epithelial cell signaling in Helicobacter pylori infection
345	Cre01.g027800	K02144	5152	Tuberculosis
346	Cre01.g027800	K02144	9172	Infectious diseases: Viral
379	Cre01.g029450	K09272	9182	Protein families: genetic information processing
380	Cre01.g029600	K17991	9103	Lipid metabolism
381	Cre01.g029650	K18468	9141	Transport and catabolism
382	Cre01.g029650	K18468	9182	Protein families: genetic information processing
394	Cre01.g030800	K12176	9182	Protein families: genetic information processing
