Unnamed: 0	Geneid	KO	Pathway_ko	Definition
0	Cre01.g000150	K14709	9183	Protein families: signaling and cellular processes
9	Cre01.g001400	K13539	9181	Protein families: metabolism
10	Cre01.g001400	K13539	9182	Protein families: genetic information processing
11	Cre01.g001550	K02520	9182	Protein families: genetic information processing
12	Cre01.g001550	K02520	3029	Mitochondrial biogenesis
13	Cre01.g001800	K08857	9181	Protein families: metabolism
14	Cre01.g001800	K08857	9182	Protein families: genetic information processing
15	Cre01.g001800	K08857	3400	DNA repair and recombination proteins
44	Cre01.g003524	K13412	9159	Environmental adaptation
45	Cre01.g003524	K13412	9174	Infectious diseases: Parasitic
46	Cre01.g003524	K13412	9181	Protein families: metabolism
47	Cre01.g004250	K10420	9183	Protein families: signaling and cellular processes
63	Cre01.g005550	K07943	9182	Protein families: genetic information processing
64	Cre01.g005550	K07943	9183	Protein families: signaling and cellular processes
67	Cre01.g006800	K03857	9107	Glycan biosynthesis and metabolism
68	Cre01.g006800	K03857	9181	Protein families: metabolism
84	Cre01.g007651	K06176	9182	Protein families: genetic information processing
88	Cre01.g007950	K15877	9102	Energy metabolism
95	Cre01.g009500	K13412	9159	Environmental adaptation
96	Cre01.g009500	K13412	9174	Infectious diseases: Parasitic
97	Cre01.g009500	K13412	9181	Protein families: metabolism
98	Cre01.g009950	K14568	9122	Translation
99	Cre01.g009950	K14568	9182	Protein families: genetic information processing
105	Cre01.g010864	K02836	9182	Protein families: genetic information processing
106	Cre01.g010880	K18598	9193	Unclassified: signaling and cellular processes
132	Cre01.g013400	K05291	9107	Glycan biosynthesis and metabolism
162	Cre01.g015350	K00218	9108	Metabolism of cofactors and vitamins
198	Cre01.g018000	K03000	9121	Transcription
199	Cre01.g018000	K03000	9182	Protein families: genetic information processing
257	Cre01.g021251	K01755	9105	Amino acid metabolism
258	Cre01.g021251	K01755	220	Arginine biosynthesis
259	Cre01.g021251	K01755	9183	Protein families: signaling and cellular processes
260	Cre01.g021500	K15377	9161	Cancers: Overview
261	Cre01.g021500	K15377	9183	Protein families: signaling and cellular processes
262	Cre01.g021500	K15377	4147	Exosome
268	Cre01.g021950	K10408	9164	Neurodegenerative diseases
269	Cre01.g021950	K10408	9183	Protein families: signaling and cellular processes
290	Cre01.g024500	K16484	9182	Protein families: genetic information processing
301	Cre01.g025250	K00861	9108	Metabolism of cofactors and vitamins
304	Cre01.g025400	K17570	9181	Protein families: metabolism
383	Cre01.g029750	K00939	9104	Nucleotide metabolism
384	Cre01.g029750	K00939	9108	Metabolism of cofactors and vitamins
385	Cre01.g029750	K00939	9183	Protein families: signaling and cellular processes
393	Cre01.g030650	K01669	9182	Protein families: genetic information processing
400	Cre01.g030950	K15901	9182	Protein families: genetic information processing
475	Cre01.g036800	K10397	9183	Protein families: signaling and cellular processes
477	Cre01.g037350	K17361	9181	Protein families: metabolism
513	Cre01.g039200	K07935	9182	Protein families: genetic information processing
514	Cre01.g039200	K07935	9183	Protein families: signaling and cellular processes
548	Cre01.g042750	K01681	9101	Carbohydrate metabolism
549	Cre01.g042750	K01681	630	Glyoxylate and dicarboxylate metabolism
550	Cre01.g042750	K01681	9102	Energy metabolism
