	Unnamed: 0	KO	Pathway_ko	Definition	Geneid
0	0	K14709	9183	Protein families: signaling and cellular processes	Cre13.g573950
1	1	K13535	9103	Lipid metabolism	Cre01.g000300
2	2	K14855	9182	Protein families: genetic information processing	Cre01.g000600
3	3	K00276	9105	Amino acid metabolism	Cre09.g402515
4	4	K00276	350	Tyrosine metabolism	Cre01.g001400
5	5	K00276	360	Phenylalanine metabolism	Cre01.g001550
6	6	K00276	9106	Metabolism of other amino acids	Cre17.g747397
7	7	K00276	9110	Biosynthesis of other secondary metabolites	Cre01.g002050
8	8	K00276	960	Tropane, piperidine and pyridine alkaloid biosynthesis	Cre01.g002200
9	9	K13539	9181	Protein families: metabolism	Cre12.g530300
10	10	K13539	9182	Protein families: genetic information processing	Cre01.g002350
11	11	K02520	9182	Protein families: genetic information processing	Cre16.g663200
12	12	K02520	3029	Mitochondrial biogenesis	Cre01.g003376
13	13	K08857	9181	Protein families: metabolism	Cre01.g003463
14	14	K08857	9182	Protein families: genetic information processing	Cre01.g003487
15	15	K08857	3400	DNA repair and recombination proteins	Cre19.g750597
16	16	K01078	9108	Metabolism of cofactors and vitamins	Cre10.g428850
17	17	K01078	740	Riboflavin metabolism	Cre01.g004300
18	18	K03014	9121	Transcription	Cre01.g004350
19	19	K03014	9151	Immune system	Cre01.g004500
20	20	K03014	9164	Neurodegenerative diseases	Cre12.g512000
21	21	K03014	9182	Protein families: genetic information processing	Cre06.g294650
22	22	K03014	3400	DNA repair and recombination proteins	Cre01.g005550
23	23	K01802	9191	Unclassified: metabolism	Cre01.g005850
24	24	K04532	9164	Neurodegenerative diseases	Cre01.g005900
25	25	K04532	9182	Protein families: genetic information processing	Cre01.g006800
26	26	K07376	9132	Signal transduction	Cre05.g234550
27	27	K07376	9144	Cellular community - eukaryotes	Cre01.g007051
28	28	K07376	9151	Immune system	Cre11.g467567
29	29	K07376	9152	Endocrine system	Cre01.g007200
30	30	K07376	9153	Circulatory system	Cre01.g007300
31	31	K07376	9154	Digestive system	Cre16.g688000
32	32	K07376	9156	Nervous system	Cre01.g007651
33	33	K07376	9157	Sensory system	Cre01.g007700
34	34	K07376	9159	Environmental adaptation	Cre14.g625350
35	35	K07376	4714	Thermogenesis	Cre01.g007950
36	36	K07376	9181	Protein families: metabolism	Cre01.g008000
37	37	K09522	9182	Protein families: genetic information processing	Cre01.g008450
38	38	K08735	9124	Replication and repair	Cre01.g009250
39	39	K08735	9161	Cancers: Overview	Cre01.g053300
40	40	K08735	9162	Cancers: Specific types	Cre19.g750597
41	41	K08735	9176	Drug resistance: Antineoplastic	Cre01.g009950
42	42	K08735	9182	Protein families: genetic information processing	Cre01.g010000
43	43	K13106	9182	Protein families: genetic information processing	Cre16.g675250
44	44	K13412	9159	Environmental adaptation	Cre01.g010848
45	45	K13412	9174	Infectious diseases: Parasitic	Cre01.g010864
46	46	K13412	9181	Protein families: metabolism	Cre12.g538850
47	47	K10420	9183	Protein families: signaling and cellular processes	Cre01.g010900
48	48	K01953	9105	Amino acid metabolism	Cre01.g011000
49	49	K01953	9181	Protein families: metabolism	Cre01.g011100
50	50	K12200	9141	Transport and catabolism	Cre06.g279400
51	51	K12200	9182	Protein families: genetic information processing	Cre01.g011350
52	52	K12200	9183	Protein families: signaling and cellular processes	Cre01.g011500
53	53	K01703	9101	Carbohydrate metabolism	Cre08.g380300
54	54	K01703	9105	Amino acid metabolism	Cre01.g012350
55	55	K01703	9110	Biosynthesis of other secondary metabolites	Cre10.g433900
56	56	K06816	9133	Signaling molecules and interaction	Cre06.g278210
57	57	K00830	9101	Carbohydrate metabolism	Cre01.g013150
58	58	K00830	9102	Energy metabolism	Cre01.g013400
59	59	K00830	9105	Amino acid metabolism	Cre05.g241950
