,Geneid,KO,Pathway_ko,Definition
0,Cre01.g000150,K14709,09183,Protein families: signaling and cellular processes\n
1,Cre01.g000300,K13535,09103,Lipid metabolism\n
2,Cre01.g000600,K14855,09182,Protein families: genetic information processing\n
3,Cre01.g000650,K00276,09105,Amino acid metabolism\n
4,Cre01.g000650,K00276,00350,Tyrosine metabolism\n
5,Cre01.g000650,K00276,00360,Phenylalanine metabolism\n
6,Cre01.g000650,K00276,09106,Metabolism of other amino acids\n
7,Cre01.g000650,K00276,09110,Biosynthesis of other secondary metabolites\n
8,Cre01.g000650,K00276,00960,"Tropane, piperidine and pyridine alkaloid biosynthesis\n"
9,Cre01.g001400,K13539,09181,Protein families: metabolism\n
10,Cre01.g001400,K13539,09182,Protein families: genetic information processing\n
11,Cre01.g001550,K02520,09182,Protein families: genetic information processing\n
12,Cre01.g001550,K02520,03029,Mitochondrial biogenesis\n
13,Cre01.g001800,K08857,09181,Protein families: metabolism\n
14,Cre01.g001800,K08857,09182,Protein families: genetic information processing\n
15,Cre01.g001800,K08857,03400,DNA repair and recombination proteins\n
16,Cre01.g002050,K01078,09108,Metabolism of cofactors and vitamins\n
17,Cre01.g002050,K01078,00740,Riboflavin metabolism\n
18,Cre01.g002200,K03014,09121,Transcription\n
19,Cre01.g002200,K03014,09151,Immune system\n
20,Cre01.g002200,K03014,09164,Neurodegenerative diseases\n
21,Cre01.g002200,K03014,09182,Protein families: genetic information processing\n
22,Cre01.g002200,K03014,03400,DNA repair and recombination proteins\n
23,Cre01.g002300,K01802,09191,Unclassified: metabolism\n
24,Cre01.g002350,K04532,09164,Neurodegenerative diseases\n
25,Cre01.g002350,K04532,09182,Protein families: genetic information processing\n
26,Cre01.g002550,K07376,09132,Signal transduction\n
27,Cre01.g002550,K07376,09144,Cellular community - eukaryotes\n
28,Cre01.g002550,K07376,09151,Immune system\n
29,Cre01.g002550,K07376,09152,Endocrine system\n
30,Cre01.g002550,K07376,09153,Circulatory system\n
31,Cre01.g002550,K07376,09154,Digestive system\n
32,Cre01.g002550,K07376,09156,Nervous system\n
33,Cre01.g002550,K07376,09157,Sensory system\n
34,Cre01.g002550,K07376,09159,Environmental adaptation\n
35,Cre01.g002550,K07376,04714,Thermogenesis\n
36,Cre01.g002550,K07376,09181,Protein families: metabolism\n
37,Cre01.g003376,K09522,09182,Protein families: genetic information processing\n
38,Cre01.g003463,K08735,09124,Replication and repair\n
39,Cre01.g003463,K08735,09161,Cancers: Overview\n
40,Cre01.g003463,K08735,09162,Cancers: Specific types\n
41,Cre01.g003463,K08735,09176,Drug resistance: Antineoplastic\n
42,Cre01.g003463,K08735,09182,Protein families: genetic information processing\n
43,Cre01.g003487,K13106,09182,Protein families: genetic information processing\n
44,Cre01.g003524,K13412,09159,Environmental adaptation\n
45,Cre01.g003524,K13412,09174,Infectious diseases: Parasitic\n
