Unnamed: 0	Geneid	KO	Pathway_ko	Definition
260	Cre01.g021500	K15377	9161	Cancers: Overview
261	Cre01.g021500	K15377	9183	Protein families: signaling and cellular processes
262	Cre01.g021500	K15377	4147	Exosome
268	Cre01.g021950	K10408	9164	Neurodegenerative diseases
269	Cre01.g021950	K10408	9183	Protein families: signaling and cellular processes
290	Cre01.g024500	K16484	9182	Protein families: genetic information processing
304	Cre01.g025400	K17570	9181	Protein families: metabolism
367	Cre01.g029200	K02365	9143	Cell growth and death
368	Cre01.g029200	K02365	4111	Cell cycle - yeast
369	Cre01.g029200	K02365	4113	Meiosis - yeast
370	Cre01.g029200	K02365	4114	Oocyte meiosis
371	Cre01.g029200	K02365	9172	Infectious diseases: Viral
372	Cre01.g029200	K02365	9181	Protein families: metabolism
373	Cre01.g029200	K02365	9182	Protein families: genetic information processing
480	Cre01.g037600	K12418	9181	Protein families: metabolism
513	Cre01.g039200	K07935	9182	Protein families: genetic information processing
514	Cre01.g039200	K07935	9183	Protein families: signaling and cellular processes
556	Cre01.g043750	K16749	9182	Protein families: genetic information processing
611	Cre01.g047950	K07934	9182	Protein families: genetic information processing
612	Cre01.g047950	K07934	9183	Protein families: signaling and cellular processes
843	Cre02.g073750	K10397	9183	Protein families: signaling and cellular processes
1339	Cre02.g107050	K10408	9164	Neurodegenerative diseases
1340	Cre02.g107050	K10408	9183	Protein families: signaling and cellular processes
1343	Cre02.g107350	K10408	9164	Neurodegenerative diseases
1344	Cre02.g107350	K10408	9183	Protein families: signaling and cellular processes
1459	Cre02.g112500	K08850	9181	Protein families: metabolism
1460	Cre02.g112500	K08850	9182	Protein families: genetic information processing
1474	Cre02.g113850	K01749	9108	Metabolism of cofactors and vitamins
1568	Cre02.g141606	K10408	9164	Neurodegenerative diseases
1569	Cre02.g141606	K10408	9183	Protein families: signaling and cellular processes
1731	Cre03.g145127	K10408	9164	Neurodegenerative diseases
1732	Cre03.g145127	K10408	9183	Protein families: signaling and cellular processes
1736	Cre03.g145447	K16608	9183	Protein families: signaling and cellular processes
1989	Cre03.g167550	K16533	9182	Protein families: genetic information processing
2170	Cre03.g178350	K02183	9132	Signal transduction
2171	Cre03.g178350	K02183	4015	Rap1 signaling pathway
2172	Cre03.g178350	K02183	4016	MAPK signaling pathway - plant
2173	Cre03.g178350	K02183	4371	Apelin signaling pathway
2174	Cre03.g178350	K02183	4020	Calcium signaling pathway
2175	Cre03.g178350	K02183	4070	Phosphatidylinositol signaling system
2176	Cre03.g178350	K02183	4024	cAMP signaling pathway
